Basic Math,math10,Gorgo Kinn
Computer System,comsys,chaman
Physic,kidnap,Pillo
Flying,123456,Zues
Programming,123456,Zues
Computing,abcxyz,Zues
Analysis,ann100,Gorgo Kinn
Linear Algebra,la2244,Gorgo Kinn
Biotech,biotez,Pillo
Imperative Programming,impe77,Zues
Functional Programming,cleann,Zues
Database system,dbms69,Zues Zin
Database system II,dbms70,Zues Zin
CS50x,cs50xx,David Malan
CS50P,cs50py,Brian
CS50AI,cs50ai,Brian
CS50W,cs50js,Brian
Basic JavaScript,bsjsjs,Son Dang
Machine Learning,basiml,Andrew Ng
Computer Vision,cmpvis,Andrew Ng
Large Language Models,basllm,Andrew Ng
Data Processing,datapp,Nick Nock Nack
Game Dev,gamdev,Dung Lai Lap Trinh
